STT,Day,Num1,Num2,Num3,Num4,Num5,NumS
0,CN-15122024,1,10,20,22,23,36
1,T6-13122024,3,7,29,36,37,44
2,T4-11122024,2,10,17,23,29,33
3,CN-8122024,1,13,24,26,27,37
4,T6-6122024,8,14,18,26,34,42
5,T4-4122024,7,14,19,24,34,36
6,CN-1122024,15,17,25,29,33,35
7,T6-29112024,12,15,33,35,37,45
8,T4-27112024,6,21,24,31,42,44
9,CN-24112024,5,14,15,21,33,36
10,T6-22112024,1,14,15,19,38,40
11,T4-20112024,4,16,24,29,31,37
12,CN-17112024,11,17,29,31,38,42
13,T6-15112024,8,13,31,36,37,40
14,T4-13112024,3,23,28,35,39,42
15,CN-10112024,3,7,11,12,13,40
16,T6-8112024,11,15,18,27,34,37
17,T4-6112024,1,2,3,11,25,37
18,CN-3112024,1,4,5,16,20,22
19,T6-1112024,20,22,23,32,35,40
20,T4-30102024,4,13,20,29,32,37
21,CN-27102024,18,21,28,29,33,45
22,T6-25102024,3,10,31,32,34,40
23,T4-23102024,22,27,28,31,37,44
24,CN-20102024,6,23,24,25,26,34
25,T6-18102024,13,19,20,22,24,37
26,T4-16102024,4,14,19,23,24,37
27,CN-13102024,7,10,13,17,21,45
28,T6-11102024,11,19,26,28,29,43
29,T4-9102024,14,18,20,22,34,45
30,CN-6102024,7,14,33,36,42,43
31,T6-4102024,8,10,21,32,39,44
32,T4-2102024,5,6,11,23,31,36
33,CN-2992024,3,7,16,17,41,42
34,T6-2792024,1,6,18,25,39,44
35,T4-2592024,10,23,25,27,31,37
36,CN-2292024,20,23,28,36,40,42
37,T6-2092024,13,14,19,20,30,33
38,T4-1892024,4,8,27,28,35,36
39,CN-1592024,3,11,28,32,33,35
40,T6-1392024,6,12,27,34,41,42
41,T4-1192024,6,11,19,23,34,37
42,CN-892024,3,8,10,26,34,37
43,T6-692024,5,25,28,32,36,41
44,T4-492024,2,7,15,18,24,33
45,CN-192024,30,31,33,38,42,43
46,T6-3082024,2,15,19,26,34,36
47,T4-2882024,4,5,17,25,39,41
48,CN-2582024,6,10,15,17,40,42
49,T6-2382024,7,13,26,28,35,41
50,T4-2182024,7,8,9,15,22,30
51,CN-1882024,4,13,28,33,35,38
52,T6-1682024,16,22,23,30,34,41
53,T4-1482024,1,6,9,21,43,44
54,CN-1182024,17,18,19,33,35,37
55,T6-982024,6,14,15,24,26,39
56,T4-782024,11,19,22,29,40,44
57,CN-482024,1,4,16,18,20,32
58,T6-282024,9,14,19,34,37,41
59,T4-3172024,2,4,12,16,18,42
60,CN-2872024,1,13,21,25,31,39
61,T6-2672024,18,20,28,31,39,45
62,T4-2472024,7,8,20,27,32,34
63,CN-2172024,9,10,23,25,28,38
64,T6-1972024,1,10,20,25,34,35
65,T4-1772024,9,10,11,16,21,30
66,CN-1472024,9,18,33,37,38,43
67,T6-1272024,11,17,25,26,28,29
68,T4-1072024,23,24,36,37,40,45
69,CN-772024,4,8,22,23,26,45
70,T6-572024,4,23,33,38,40,44
71,T4-372024,11,18,24,34,38,43
72,CN-3062024,5,23,25,28,30,43
73,T6-2862024,4,6,16,32,41,44
74,T4-2662024,8,10,29,30,33,40
75,CN-2362024,9,11,19,29,31,44
76,T6-2162024,3,7,11,16,19,35
77,T4-1962024,8,12,17,23,26,27
78,CN-1662024,3,16,17,18,25,37
79,T6-1462024,10,24,25,26,30,41
80,T4-1262024,1,2,8,13,26,34
81,CN-962024,4,5,28,32,37,42
82,T6-762024,15,19,24,25,27,39
83,T4-562024,11,25,28,33,34,45
84,CN-262024,2,7,13,23,25,45
85,T6-3152024,4,8,15,23,31,40
86,T4-2952024,4,21,25,27,35,39
87,CN-2652024,4,9,11,14,19,27
88,T6-2452024,2,14,15,17,23,40
89,T4-2252024,2,3,10,22,41,43
90,CN-1952024,5,19,25,35,37,39
91,T6-1752024,8,22,27,29,39,43
92,T4-1552024,3,11,13,21,24,34
93,CN-1252024,3,5,6,9,32,45
94,T6-1052024,12,13,31,38,42,43
95,T4-852024,2,10,13,22,30,34
96,CN-552024,10,12,14,16,21,39
97,T6-352024,1,13,14,21,27,43
98,T4-152024,7,9,17,20,25,29
99,CN-2842024,1,13,14,22,23,37
100,T6-2642024,2,3,25,34,35,38
101,T4-2442024,7,21,30,33,38,39
102,CN-2142024,7,21,36,38,40,45
103,T6-1942024,2,3,20,21,32,33
104,T4-1742024,9,16,26,27,32,41
105,CN-1442024,7,12,16,29,42,45
106,T6-1242024,6,17,18,26,43,45
107,T4-1042024,2,10,30,33,34,40
108,CN-742024,3,11,15,17,24,35
109,T6-542024,14,18,22,29,36,37
110,T4-342024,7,11,14,22,29,34
111,CN-3132024,5,12,13,17,40,41
112,T6-2932024,4,7,25,34,35,38
113,T4-2732024,6,29,31,35,42,44
114,CN-2432024,1,14,22,28,32,42
115,T6-2232024,5,6,11,20,24,45
116,T4-2032024,8,14,26,28,43,45
117,CN-1732024,1,3,5,26,30,42
118,T6-1532024,9,11,16,29,31,33
119,T4-1332024,1,13,25,30,34,40
120,CN-1032024,4,12,19,23,36,41
121,T6-832024,2,26,28,40,41,45
122,T4-632024,11,15,34,39,41,43
123,CN-332024,3,10,17,20,22,27
124,T6-132024,20,22,24,26,28,37
125,T4-2822024,1,10,21,25,32,39
126,CN-2522024,5,7,10,12,15,26
127,T6-2322024,4,17,19,27,28,36
128,T4-2122024,2,8,14,19,24,42
129,CN-1822024,5,19,20,21,24,40
130,T6-1622024,6,10,16,20,40,42
131,T4-1422024,8,9,11,12,40,44
132,CN-1122024,7,18,31,33,35,41
133,T4-722024,17,21,24,25,39,42
134,CN-422024,9,15,21,29,33,39
135,T6-222024,1,15,29,31,32,34
136,T4-3112024,9,11,15,35,38,41
137,CN-2812024,3,23,25,29,36,41
138,T6-2612024,8,19,22,27,31,35
139,T4-2412024,7,27,30,36,39,45
140,CN-2112024,11,20,22,23,26,31
141,T6-1912024,8,15,20,24,43,44
142,T4-1712024,14,19,21,36,43,44
143,CN-1412024,2,8,19,20,24,42
144,T6-1212024,10,11,20,27,39,43
145,T4-1012024,10,12,18,19,29,43
146,CN-712024,3,4,15,18,36,45
147,T6-512024,9,16,29,31,33,42
148,T4-312024,9,14,19,20,29,40
149,CN-31122023,13,14,23,25,34,44
150,T6-29122023,16,20,22,35,37,39
151,T4-27122023,8,16,23,34,36,39
152,CN-24122023,1,2,5,24,40,43
153,T6-22122023,2,12,14,16,34,38
154,T4-20122023,5,15,16,21,22,32
155,CN-17122023,3,7,18,20,31,33
156,T6-15122023,1,5,10,11,20,40
157,T4-13122023,3,7,11,20,28,44
158,CN-10122023,9,10,11,17,41,44
159,T6-8122023,11,15,16,17,42,43
160,T4-6122023,18,19,20,29,41,42
161,CN-3122023,12,14,16,21,29,32
162,T6-1122023,5,10,14,21,27,32
163,T4-29112023,9,22,24,32,38,39
164,CN-26112023,4,6,15,23,25,36
165,T6-24112023,5,18,22,34,41,45
166,T4-22112023,15,18,20,23,37,39
167,CN-19112023,1,3,19,20,26,34
168,T6-17112023,16,20,25,26,36,41
169,T4-15112023,2,3,12,16,30,37
170,CN-12112023,2,4,10,15,27,31
171,T6-10112023,1,4,10,13,14,44
172,T4-8112023,7,20,23,27,31,33
173,CN-5112023,1,13,16,18,23,25
174,T6-3112023,2,7,9,13,22,38
175,T4-1112023,1,3,15,16,23,28
176,CN-29102023,5,7,15,21,32,45
177,T6-27102023,7,10,14,21,26,37
178,T4-25102023,4,6,13,25,31,41
179,CN-22102023,10,13,14,19,35,40
180,T6-20102023,4,16,21,24,26,37
181,T4-18102023,2,7,18,20,24,29
182,CN-15102023,4,5,9,27,34,39
183,T6-13102023,1,11,16,39,40,45
184,T4-11102023,5,10,30,40,44,45
185,CN-8102023,4,16,22,28,33,39
186,T6-6102023,18,19,24,28,33,40
187,T4-4102023,7,17,21,32,40,45
188,CN-1102023,2,11,13,16,41,43
189,T6-2992023,2,8,24,27,30,43
190,T4-2792023,3,12,22,30,37,39
191,CN-2492023,4,8,23,27,30,36
192,T6-2292023,2,16,17,18,20,23
193,T4-2092023,3,6,20,39,40,41
194,CN-1792023,6,10,15,36,39,43
195,T6-1592023,2,3,5,7,10,38
196,T4-1392023,2,4,7,9,12,13
197,CN-1092023,4,5,10,18,27,40
198,T6-892023,6,8,14,29,39,42
199,T4-692023,3,4,12,18,19,29
200,CN-392023,1,33,38,39,44,45
201,T6-192023,9,14,16,19,28,41
202,T4-3082023,13,17,20,28,30,33
203,CN-2782023,24,27,30,37,44,45
204,T6-2582023,8,18,30,32,38,45
205,T4-2382023,5,14,18,19,29,31
206,CN-2082023,7,8,22,23,30,42
207,T6-1882023,12,19,21,22,34,38
208,T4-1682023,5,7,25,31,39,41
209,CN-1382023,9,15,23,33,35,40
210,T6-1182023,16,21,26,29,30,45
211,T4-982023,18,22,30,31,39,41
212,CN-682023,4,15,19,25,30,38
213,T6-482023,2,12,22,38,41,44
214,T4-282023,4,21,27,38,39,44
215,CN-3072023,3,17,23,33,42,45
216,T6-2872023,7,27,28,30,31,35
217,T4-2672023,4,13,18,21,29,37
218,CN-2372023,14,17,23,32,33,43
219,T6-2172023,9,20,31,33,36,45
220,T4-1972023,6,10,19,37,43,45
221,CN-1672023,1,7,16,18,21,29
222,T6-1472023,4,5,13,19,27,37
223,T4-1272023,19,24,27,31,33,43
224,CN-972023,14,16,27,28,33,41
225,T6-772023,5,9,12,20,37,42
226,T4-572023,1,12,24,27,36,44
227,CN-272023,3,5,8,17,37,41
228,T6-3062023,2,5,20,23,31,38
229,T4-2862023,4,8,24,31,42,45
230,CN-2562023,4,6,7,25,26,30
231,T6-2362023,10,14,15,20,24,45
232,T4-2162023,7,13,19,35,37,38
233,CN-1862023,3,4,8,18,21,33
234,T6-1662023,24,26,32,37,38,41
235,T4-1462023,2,28,31,37,41,44
236,CN-1162023,5,18,22,40,41,44
237,T6-962023,15,16,23,25,40,41
238,T4-762023,1,7,14,16,34,44
239,CN-462023,3,15,19,35,36,43
240,T6-262023,3,11,14,19,21,43
241,T4-3152023,4,9,10,22,41,44
242,CN-2852023,6,13,19,20,37,44
243,T6-2652023,8,10,19,25,35,44
244,T4-2452023,9,11,15,28,33,44
245,CN-2152023,8,10,17,19,24,41
246,T6-1952023,3,9,10,27,35,38
247,T4-1752023,2,6,13,20,28,44
248,CN-1452023,7,8,13,37,42,44
249,T6-1252023,2,6,8,9,15,27
250,T4-1052023,7,8,9,13,15,27
251,CN-752023,4,30,31,33,35,45
252,T6-552023,22,28,31,35,36,38
253,T4-352023,18,23,28,29,39,44
254,CN-3042023,7,9,23,24,33,36
255,T6-2842023,5,11,25,33,42,44
256,T4-2642023,1,4,7,9,34,37
257,CN-2342023,1,2,22,30,37,42
258,T6-2142023,2,4,7,10,20,44
259,T4-1942023,10,27,37,40,42,43
260,CN-1642023,8,17,20,25,33,36
261,T6-1442023,8,16,23,27,32,41
262,T4-1242023,4,7,27,28,32,43
263,CN-942023,12,15,25,30,34,39
264,T6-742023,9,14,22,29,39,41
265,T4-542023,4,8,12,15,19,43
266,CN-242023,2,24,36,38,42,43
267,T6-3132023,1,9,10,15,30,42
268,T4-2932023,3,6,12,28,29,43
269,CN-2632023,6,16,18,25,34,45
270,T6-2432023,6,14,15,18,24,41
271,T4-2232023,5,8,10,15,17,41
272,CN-1932023,2,7,10,21,28,35
273,T6-1732023,5,7,12,22,26,33
274,T4-1532023,11,19,23,28,34,35
275,CN-1232023,10,28,29,31,33,37
276,T6-1032023,3,5,13,22,36,44
277,T4-832023,10,13,22,25,28,36
278,CN-532023,9,11,24,31,36,44
279,T6-332023,10,22,26,27,33,43
280,T4-132023,13,14,29,33,38,43
281,CN-2622023,4,9,16,26,28,42
282,T6-2422023,1,10,16,22,35,44
283,T4-2222023,8,16,22,23,28,38
284,CN-1922023,2,20,22,28,29,38
285,T6-1722023,1,5,10,13,23,25
286,T4-1522023,1,2,8,20,24,31
287,CN-1222023,3,5,11,23,24,42
288,T6-1022023,1,11,23,27,33,39
289,T4-822023,6,18,20,22,26,34
290,CN-522023,13,15,23,29,31,34
291,T6-322023,4,11,16,30,33,43
292,T4-122023,16,21,27,29,34,44
293,CN-2912023,5,21,26,27,32,33
294,T6-2712023,10,13,21,29,41,43
295,T4-2512023,12,14,18,22,28,31
296,T6-2012023,3,7,13,29,32,44
297,CN-1512023,8,9,15,21,26,45
298,T6-1312023,3,11,14,20,26,42
299,T4-1112023,1,18,22,33,34,43
300,CN-812023,11,29,32,39,40,43
301,T6-612023,2,7,16,25,35,38
302,T4-412023,3,5,7,37,39,42
303,CN-112023,16,20,26,30,32,40
304,T6-30122022,3,24,31,35,39,42
305,T4-28122022,4,5,10,21,33,37
306,CN-25122022,15,17,21,28,37,43
307,T6-23122022,2,14,21,22,35,43
308,T4-21122022,8,12,20,26,35,37
309,CN-18122022,2,12,13,33,36,42
310,T6-16122022,6,19,22,26,38,39
311,T4-14122022,13,29,35,37,38,41
312,CN-11122022,9,11,16,17,22,33
313,T6-9122022,4,23,25,30,40,41
314,T4-7122022,8,11,19,24,26,42
315,CN-4122022,4,5,7,9,27,39
316,T6-2122022,2,18,21,24,38,44
317,T4-30112022,7,15,20,25,32,37
318,CN-27112022,1,26,27,35,36,43
319,T6-25112022,14,20,24,30,35,41
320,T4-23112022,4,13,15,20,37,38
321,CN-20112022,1,4,14,22,24,40
322,T6-18112022,15,16,22,25,29,33
323,T4-16112022,2,3,12,32,35,44
324,CN-13112022,3,4,27,32,40,43
325,T6-11112022,2,3,9,15,17,43
326,T4-9112022,7,9,16,20,30,32
327,CN-6112022,8,10,12,14,17,31
328,T6-4112022,9,13,16,24,33,45
329,T4-2112022,2,17,23,27,37,42
330,CN-30102022,15,27,31,36,38,41
331,T6-28102022,16,21,22,33,42,45
332,T4-26102022,2,3,10,15,31,36
333,CN-23102022,2,11,18,33,36,45
334,T6-21102022,10,16,17,18,34,42
335,T4-19102022,1,3,7,10,21,29
336,CN-16102022,2,5,19,26,38,40
337,T6-14102022,1,6,22,25,30,34
338,T4-12102022,1,7,13,16,27,35
339,CN-9102022,13,15,20,25,35,43
340,T6-7102022,18,20,29,34,36,38
341,T4-5102022,9,18,23,24,29,34
342,CN-2102022,3,17,28,30,31,32
343,T6-3092022,4,11,19,20,35,41
344,T4-2892022,4,5,7,24,27,30
345,CN-2592022,3,5,8,31,33,34
346,T6-2392022,1,12,21,28,30,44
347,T4-2192022,5,10,14,25,42,45
348,CN-1892022,3,5,10,17,25,29
349,T6-1692022,2,26,35,41,42,43
350,T4-1492022,3,12,15,20,24,45
351,CN-1192022,4,15,20,31,43,44
352,T6-992022,4,6,13,14,28,39
353,T4-792022,8,9,10,20,35,38
354,CN-492022,5,17,19,27,35,39
355,T6-292022,2,3,14,21,31,33
356,T4-3182022,4,10,28,29,31,34
357,CN-2882022,8,16,31,37,39,41
358,T6-2682022,3,30,31,32,36,45
359,T4-2482022,12,20,21,23,27,34
360,CN-2182022,5,19,21,23,28,36
361,T6-1982022,25,26,33,39,41,43
362,T4-1782022,23,29,35,37,39,45
363,CN-1482022,9,13,21,24,34,35
364,T6-1282022,5,7,16,20,36,41
365,T4-1082022,4,8,10,15,26,31
366,CN-782022,6,9,10,13,24,27
367,T6-582022,10,13,14,32,37,42
368,T4-382022,5,14,30,36,38,42
369,CN-3172022,3,8,15,16,40,42
370,T6-2972022,5,7,11,20,31,37
371,T4-2772022,9,15,18,22,32,41
372,CN-2472022,4,11,17,29,30,44
373,T6-2272022,4,10,18,22,31,37
374,T4-2072022,5,6,20,22,26,39
375,CN-1772022,7,13,20,23,27,29
376,T6-1572022,4,30,35,39,42,43
377,T4-1372022,4,9,21,28,35,37
378,CN-1072022,12,23,29,36,37,41
379,T6-872022,6,7,12,18,21,43
380,T4-672022,4,12,14,15,41,42
381,CN-372022,8,14,17,20,21,40
382,T6-172022,17,26,30,31,33,39
383,T4-2962022,1,19,20,27,30,32
384,CN-2662022,3,7,8,18,27,36
385,T6-2462022,7,16,18,32,34,44
